year;month;fatalities
1995;JAN;374
1995;FEB;302
1995;MAR;396
1995;APR;430
1995;MAY;367
1995;JUN;386
1995;JUL;521
1995;AUG;488
1995;SEP;472
1995;OCT;372
1995;NOV;384
1995;DEC;414
1996;JAN;299
1996;FEB;351
1996;MAR;347
1996;APR;361
1996;MAY;377
1996;JUN;436
1996;JUL;443
1996;AUG;470
1996;SEP;414
1996;OCT;414
1996;NOV;367
1996;DEC;406
1997;JAN;348
1997;FEB;290
1997;MAR;399
1997;APR;357
1997;MAY;368
1997;JUN;364
1997;JUL;482
1997;AUG;548
1997;SEP;406
1997;OCT;369
1997;NOV;363
1997;DEC;396
1998;JAN;345
1998;FEB;346
1998;MAR;384
1998;APR;320
1998;MAY;427
1998;JUN;447
1998;JUL;457
1998;AUG;545
1998;SEP;444
1998;OCT;449
1998;NOV;422
1998;DEC;446
1999;JAN;365
1999;FEB;326
1999;MAR;357
1999;APR;374
1999;MAY;394
1999;JUN;353
1999;JUL;477
1999;AUG;492
1999;SEP;463
1999;OCT;458
1999;NOV;424
1999;DEC;408
2000;JAN;400
2000;FEB;333
2000;MAR;375
2000;APR;394
2000;MAY;391
2000;JUN;405
2000;JUL;552
2000;AUG;477
2000;SEP;433
2000;OCT;441
2000;NOV;400
2000;DEC;430
2001;JAN;352
2001;FEB;364
2001;MAR;361
2001;APR;364
2001;MAY;388
2001;JUN;429
2001;JUL;460
2001;AUG;508
2001;SEP;391
2001;OCT;369
2001;NOV;401
2001;DEC;424
2002;JAN;421
2002;FEB;329
2002;MAR;369
2002;APR;306
2002;MAY;349
2002;JUN;409
2002;JUL;442
2002;AUG;491
2002;SEP;376
2002;OCT;390
2002;NOV;378
2002;DEC;394
2003;JAN;356
2003;FEB;335
2003;MAR;342
2003;APR;353
2003;MAY;336
2003;JUN;428
2003;JUL;455
2003;AUG;525
2003;SEP;386
2003;OCT;376
2003;NOV;398
2003;DEC;413
2004;JAN;324
2004;FEB;286
2004;MAR;314
2004;APR;341
2004;MAY;351
2004;JUN;376
2004;JUL;406
2004;AUG;408
2004;SEP;316
2004;OCT;406
2004;NOV;300
2004;DEC;328
2005;JAN;304
2005;FEB;300
2005;MAR;319
2005;APR;294
2005;MAY;317
2005;JUN;347
2005;JUL;386
2005;AUG;362
2005;SEP;315
2005;OCT;322
2005;NOV;277
2005;DEC;314
2006;JAN;328
2006;FEB;244
2006;MAR;299
2006;APR;304
2006;MAY;313
2006;JUN;308
2006;JUL;327
2006;AUG;284
2006;SEP;303
2006;OCT;274
2006;NOV;272
2006;DEC;279
2007;JAN;249
2007;FEB;230
2007;MAR;299
2007;APR;264
2007;MAY;287
2007;JUN;261
2007;JUL;325
2007;AUG;314
2007;SEP;313
2007;OCT;294
2007;NOV;208
2007;DEC;261
2008;JAN;227
2008;FEB;201
2008;MAR;204
2008;APR;210
2008;MAY;229
2008;JUN;222
2008;JUL;268
2008;AUG;261
2008;SEP;194
2008;OCT;230
2008;NOV;207
2008;DEC;203
2009;JAN;190
2009;FEB;179
2009;MAR;201
2009;APR;170
2009;MAY;202
2009;JUN;209
2009;JUL;221
2009;AUG;240
2009;SEP;176
2009;OCT;195
2009;NOV;165
2009;DEC;188
2010;JAN;174
2010;FEB;126
2010;MAR;148
2010;APR;145
2010;MAY;182
2010;JUN;172
2010;JUL;217
2010;AUG;226
2010;SEP;193
2010;OCT;212
2010;NOV;180
2010;DEC;171
2011;JAN;136
2011;FEB;130
2011;MAR;125
2011;APR;137
2011;MAY;164
2011;JUN;132
2011;JUL;203
2011;AUG;197
2011;SEP;171
2011;OCT;147
2011;NOV;149
2011;DEC;146
2012;JAN;134
2012;FEB;128
2012;MAR;139
2012;APR;123
2012;MAY;136
2012;JUN;148
2012;JUL;139
2012;AUG;168
2012;SEP;173
2012;OCT;128
2012;NOV;116
2012;DEC;131
2013;JAN;118
2013;FEB;122
2013;MAR;104
2013;APR;110
2013;MAY;96
2013;JUN;116
2013;JUL;143
2013;AUG;153
2013;SEP;144
2013;OCT;138
2013;NOV;114
2013;DEC;131
