year;month;fatalities
1995;JAN;314
1995;FEB;251
1995;MAR;321
1995;APR;357
1995;MAY;310
1995;JUN;342
1995;JUL;455
1995;AUG;423
1995;SEP;393
1995;OCT;300
1995;NOV;310
1995;DEC;343
1996;JAN;238
1996;FEB;289
1996;MAR;274
1996;APR;309
1996;MAY;302
1996;JUN;363
1996;JUL;373
1996;AUG;407
1996;SEP;357
1996;OCT;346
1996;NOV;293
1996;DEC;354
1997;JAN;282
1997;FEB;235
1997;MAR;331
1997;APR;296
1997;MAY;316
1997;JUN;306
1997;JUL;411
1997;AUG;475
1997;SEP;346
1997;OCT;313
1997;NOV;303
1997;DEC;323
1998;JAN;278
1998;FEB;280
1998;MAR;327
1998;APR;275
1998;MAY;346
1998;JUN;376
1998;JUL;393
1998;AUG;475
1998;SEP;376
1998;OCT;382
1998;NOV;353
1998;DEC;376
1999;JAN;305
1999;FEB;273
1999;MAR;299
1999;APR;320
1999;MAY;341
1999;JUN;295
1999;JUL;421
1999;AUG;423
1999;SEP;413
1999;OCT;391
1999;NOV;352
1999;DEC;340
2000;JAN;333
2000;FEB;278
2000;MAR;295
2000;APR;317
2000;MAY;326
2000;JUN;350
2000;JUL;487
2000;AUG;417
2000;SEP;372
2000;OCT;361
2000;NOV;334
2000;DEC;371
2001;JAN;300
2001;FEB;291
2001;MAR;301
2001;APR;295
2001;MAY;325
2001;JUN;365
2001;JUL;398
2001;AUG;447
2001;SEP;341
2001;OCT;306
2001;NOV;334
2001;DEC;364
2002;JAN;350
2002;FEB;274
2002;MAR;314
2002;APR;258
2002;MAY;306
2002;JUN;353
2002;JUL;373
2002;AUG;434
2002;SEP;314
2002;OCT;330
2002;NOV;315
2002;DEC;346
2003;JAN;298
2003;FEB;275
2003;MAR;287
2003;APR;317
2003;MAY;298
2003;JUN;359
2003;JUL;381
2003;AUG;457
2003;SEP;319
2003;OCT;319
2003;NOV;320
2003;DEC;363
2004;JAN;274
2004;FEB;226
2004;MAR;254
2004;APR;273
2004;MAY;298
2004;JUN;314
2004;JUL;343
2004;AUG;350
2004;SEP;271
2004;OCT;341
2004;NOV;247
2004;DEC;273
2005;JAN;247
2005;FEB;244
2005;MAR;263
2005;APR;244
2005;MAY;273
2005;JUN;279
2005;JUL;336
2005;AUG;316
2005;SEP;279
2005;OCT;284
2005;NOV;238
2005;DEC;265
2006;JAN;277
2006;FEB;198
2006;MAR;255
2006;APR;248
2006;MAY;270
2006;JUN;263
2006;JUL;274
2006;AUG;246
2006;SEP;256
2006;OCT;233
2006;NOV;235
2006;DEC;234
2007;JAN;207
2007;FEB;179
2007;MAR;242
2007;APR;215
2007;MAY;235
2007;JUN;221
2007;JUL;272
2007;AUG;270
2007;SEP;264
2007;OCT;244
2007;NOV;172
2007;DEC;220
2008;JAN;174
2008;FEB;162
2008;MAR;173
2008;APR;166
2008;MAY;195
2008;JUN;179
2008;JUL;231
2008;AUG;216
2008;SEP;150
2008;OCT;192
2008;NOV;171
2008;DEC;171
2009;JAN;155
2009;FEB;138
2009;MAR;166
2009;APR;134
2009;MAY;169
2009;JUN;176
2009;JUL;178
2009;AUG;202
2009;SEP;143
2009;OCT;149
2009;NOV;132
2009;DEC;161
2010;JAN;139
2010;FEB;91
2010;MAR;111
2010;APR;118
2010;MAY;161
2010;JUN;139
2010;JUL;174
2010;AUG;188
2010;SEP;154
2010;OCT;174
2010;NOV;147
2010;DEC;133
2011;JAN;108
2011;FEB;102
2011;MAR;104
2011;APR;102
2011;MAY;139
2011;JUN;104
2011;JUL;172
2011;AUG;152
2011;SEP;140
2011;OCT;114
2011;NOV;123
2011;DEC;124
2012;JAN;102
2012;FEB;98
2012;MAR;100
2012;APR;106
2012;MAY;104
2012;JUN;109
2012;JUL;119
2012;AUG;141
2012;SEP;138
2012;OCT;99
2012;NOV;88
2012;DEC;97
2013;JAN;80
2013;FEB;92
2013;MAR;69
2013;APR;84
2013;MAY;72
2013;JUN;93
2013;JUL;113
2013;AUG;120
2013;SEP;111
2013;OCT;103
2013;NOV;91
2013;DEC;106
