year;month;fatalities
1995;JAN;60
1995;FEB;51
1995;MAR;75
1995;APR;73
1995;MAY;57
1995;JUN;44
1995;JUL;66
1995;AUG;65
1995;SEP;79
1995;OCT;72
1995;NOV;74
1995;DEC;71
1996;JAN;61
1996;FEB;62
1996;MAR;73
1996;APR;52
1996;MAY;75
1996;JUN;73
1996;JUL;70
1996;AUG;63
1996;SEP;57
1996;OCT;68
1996;NOV;74
1996;DEC;52
1997;JAN;66
1997;FEB;55
1997;MAR;68
1997;APR;61
1997;MAY;52
1997;JUN;58
1997;JUL;71
1997;AUG;73
1997;SEP;60
1997;OCT;56
1997;NOV;60
1997;DEC;73
1998;JAN;67
1998;FEB;66
1998;MAR;57
1998;APR;45
1998;MAY;81
1998;JUN;71
1998;JUL;64
1998;AUG;70
1998;SEP;68
1998;OCT;67
1998;NOV;69
1998;DEC;70
1999;JAN;60
1999;FEB;53
1999;MAR;58
1999;APR;54
1999;MAY;53
1999;JUN;58
1999;JUL;56
1999;AUG;69
1999;SEP;50
1999;OCT;67
1999;NOV;72
1999;DEC;68
2000;JAN;67
2000;FEB;55
2000;MAR;80
2000;APR;77
2000;MAY;65
2000;JUN;55
2000;JUL;65
2000;AUG;60
2000;SEP;61
2000;OCT;80
2000;NOV;66
2000;DEC;59
2001;JAN;52
2001;FEB;73
2001;MAR;60
2001;APR;69
2001;MAY;63
2001;JUN;64
2001;JUL;62
2001;AUG;61
2001;SEP;50
2001;OCT;63
2001;NOV;67
2001;DEC;60
2002;JAN;71
2002;FEB;55
2002;MAR;55
2002;APR;48
2002;MAY;43
2002;JUN;56
2002;JUL;69
2002;AUG;57
2002;SEP;62
2002;OCT;60
2002;NOV;63
2002;DEC;48
2003;JAN;58
2003;FEB;60
2003;MAR;55
2003;APR;36
2003;MAY;38
2003;JUN;69
2003;JUL;74
2003;AUG;68
2003;SEP;67
2003;OCT;57
2003;NOV;78
2003;DEC;50
2004;JAN;50
2004;FEB;60
2004;MAR;60
2004;APR;68
2004;MAY;53
2004;JUN;62
2004;JUL;63
2004;AUG;58
2004;SEP;45
2004;OCT;65
2004;NOV;53
2004;DEC;55
2005;JAN;57
2005;FEB;56
2005;MAR;56
2005;APR;50
2005;MAY;44
2005;JUN;68
2005;JUL;50
2005;AUG;46
2005;SEP;36
2005;OCT;38
2005;NOV;39
2005;DEC;49
2006;JAN;51
2006;FEB;46
2006;MAR;44
2006;APR;56
2006;MAY;43
2006;JUN;45
2006;JUL;53
2006;AUG;38
2006;SEP;47
2006;OCT;41
2006;NOV;37
2006;DEC;45
2007;JAN;42
2007;FEB;51
2007;MAR;57
2007;APR;49
2007;MAY;52
2007;JUN;40
2007;JUL;53
2007;AUG;44
2007;SEP;49
2007;OCT;50
2007;NOV;36
2007;DEC;41
2008;JAN;53
2008;FEB;39
2008;MAR;31
2008;APR;44
2008;MAY;34
2008;JUN;43
2008;JUL;37
2008;AUG;45
2008;SEP;44
2008;OCT;38
2008;NOV;36
2008;DEC;32
2009;JAN;35
2009;FEB;41
2009;MAR;35
2009;APR;36
2009;MAY;33
2009;JUN;33
2009;JUL;43
2009;AUG;38
2009;SEP;33
2009;OCT;46
2009;NOV;33
2009;DEC;27
2010;JAN;35
2010;FEB;35
2010;MAR;37
2010;APR;27
2010;MAY;21
2010;JUN;33
2010;JUL;43
2010;AUG;38
2010;SEP;39
2010;OCT;38
2010;NOV;33
2010;DEC;38
2011;JAN;28
2011;FEB;28
2011;MAR;21
2011;APR;35
2011;MAY;25
2011;JUN;28
2011;JUL;31
2011;AUG;45
2011;SEP;31
2011;OCT;33
2011;NOV;26
2011;DEC;22
2012;JAN;32
2012;FEB;30
2012;MAR;39
2012;APR;17
2012;MAY;32
2012;JUN;39
2012;JUL;20
2012;AUG;27
2012;SEP;35
2012;OCT;29
2012;NOV;28
2012;DEC;34
2013;JAN;38
2013;FEB;30
2013;MAR;35
2013;APR;26
2013;MAY;24
2013;JUN;23
2013;JUL;30
2013;AUG;33
2013;SEP;33
2013;OCT;35
2013;NOV;23
2013;DEC;25
